anno;rilevatore;mese;giorno_settimana;fascia_oraria;comune;nome_strada;tipo_luogo;indirizzo;lon;lat;kmt_etm;fondo;segnaletica;meteo;natura;des_circ_a;des_circ_b;veicolo_a;avaria_a;des_psico_a;veicolo_b;avaria_b;des_psico_b;veicolo_c;veicoli_oltre_a_b_c;pedoni_morti_feriti;tot_morti;tot_feriti
2010;Polizia Municipale;3;Domenica;Notte;TORREBELVICINO;SP 046 Pasubio;Rettilineo;LOCALITA' FONTE MARGHERITA, 2 SP 046 PASUBIO;11.2945330;45.7186480;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva contromano (art.143);;Autovettura privata;;;Autovettura privata;;;;0;0;0;3
2010;Polizia Municipale;11;Mercoledì;Mattino;SANTORSO;SP 350 Val d'Astico;Rettilineo;VIA IV NOVEMBRE, 50 SP 350 VAL D'ASTICO;11.3795000;45.7303300;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva regolarmente;;Autovettura privata;;;Autovettura privata;;;Autovettura privata;1;0;0;4
2010;Polizia Municipale;11;Sabato;Sera;SANTORSO;SP 350 Val d'Astico;Rettilineo;VIA IV NOVEMBRE, 57 SP 350 VAL D'ASTICO;11.3856020;45.7320280;0;Bagnato;Orizzontale;Pioggia;Tamponamento;Procedeva senza mantenere la distanza di sicurezza (art.149);;Autovettura privata;;;Autovettura privata;;;;0;0;0;1
2010;Polizia Municipale;4;Venerdì;Sera;SANTORSO;SP 350 Val d'Astico;Intersezione con semaforo o vigile;VIA IV NOVEMBRE INCROCIO VIA POZZATI SP 350 VAL D'ASTICO;11.3868120;45.7323630;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva regolarmente senza svoltare;;Autovettura privata;;;Autovettura privata;;;;0;0;0;4
2010;Polizia Municipale;3;Martedì;Pomeriggio;PIOVENE ROCCHETTE;SP 350 Val d'Astico;Incrocio;VIA MONTE PASUBIO INCROCIO VIA VALLARSA SP 350 VAL D'ASTI;11.4198380;45.7438460;0;Asciutto;Assente;Sereno;Tamponamento;Procedeva con eccesso di velocità (art.141);;Autocarro;;;Autovettura privata;;;;0;0;0;1
2010;Polizia Stradale;11;Domenica;Mattino;COGOLLO DEL CENGIO;SP 349 Costo;Rettilineo;SP349          -;11.4315522;45.7985881;84;Asciutto;;Altro;Fuoriuscita (veicolo in marcia senza urto);Procedeva regolarmente;Camminava o sostava mantenendosi su marciapiede, banchina;Autovettura privata;;;Autovettura privata;;;Autovettura privata;0;0;1;5
2010;Polizia Municipale;3;Martedì;Pomeriggio;CARRE';SP 349 Costo;Intersezione segnalata;VIA BIANCHE, 10 SP 349 COSTO;11.4401640;45.7382730;0;Bagnato;;Altro;Scontro frontale-laterale;Procedeva senza rispettare lo stop  (art.145);;Autovettura privata;;;Ciclomotore;;;;0;0;0;1
2010;Polizia Municipale;11;Giovedì;Pomeriggio;PIOVENE ROCCHETTE;SP 349 Costo;Intersezione segnalata;VIA ANTONIO FOGAZZARO INC VIA CURTOLINI SP 349 COSTO;11.4427400;45.7599010;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva regolarmente senza svoltare;;Veicolo speciale;;;Autovettura privata;;;Autovettura privata;0;0;0;2
2010;Polizia Municipale;10;Lunedì;Pomeriggio;ZANE';SP 349 Costo;Intersezione con semaforo o vigile;VIA SUMMANO VIA TRIESTE SP 349 COSTO;11.4458440;45.7305910;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva senza dare la precedenza al veicolo proveniente da destra;;Motociclo a solo;;;Autovettura privata;;;;0;0;0;1
2010;Polizia Municipale;2;Giovedì;Pomeriggio;THIENE;SP 349 var Costo Variante;Curva;SS 349 VAR THIENE;11.4531590;45.7046060;3;Sdrucciolevole;Temporanea di cantiere;Neve;Fuoriuscita (veicolo in marcia senza urto);;;Autovettura privata;;Anormale per ingestione di sostanze stupefacenti o psicotrope (art. 187);;;;;0;0;0;1
2010;Polizia Municipale;12;Mercoledì;Mattino;THIENE;SP 349 var Costo Variante;Rettilineo;SS 349 VAR THIENE;11.4556289;45.7022157;3;Asciutto;Assente;Sereno;Scontro frontale;Procedeva contromano (art.143);;Autovettura privata;;;Autovettura privata;;;Autovettura privata;0;0;0;1
2010;Carabiniere;4;Giovedì;Mattino;ISOLA VICENTINA;SP 046 Pasubio;Rettilineo;SP 046  VIA VICENZA VIA CHIODO KMT 10+4;11.4668300;45.6143090;10.4;Asciutto;Assente;Sereno;Fuoriuscita (veicolo in marcia senza urto);Sbandamento con fuoriuscita per guida distratta;;Autovettura privata;;Anormale per ebbrezza da alcool (art. 186);;;;;0;0;0;1
2010;Polizia Municipale;2;Venerdì;Pomeriggio;THIENE;SP 349 Costo;Incrocio;VIA SANTO VIA BRAGLIO SP 349 COSTO;11.4885960;45.6713880;0;Bagnato;Orizzontale;Pioggia;Scontro frontale-laterale;Procedeva senza dare la precedenza al veicolo proveniente da destra;;Autovettura privata;;;Autovettura privata;;;Autovettura privata;0;0;0;1
2010;Polizia Municipale;11;Mercoledì;Sera;THIENE;SP 349 Costo;Intersezione segnalata;VIA SANTO VIA DELL'AEROPORTO SP 349 COSTO;11.4886160;45.6715490;0;Bagnato;Orizzontale;Pioggia;Scontro frontale-laterale;Procedeva senza rispettare il segnale di dare precedenza  (art.145);;Autovettura privata;;;Autovettura privata;;;;0;0;0;1
2010;Polizia Municipale;11;Martedì;Pomeriggio;THIENE;SP 349 Costo;Intersezione segnalata;VIA SANTO VIA DELL'AEROPORTO SP 349 COSTO;11.4886589;45.6715303;0;Bagnato;Orizzontale;Pioggia;Scontro frontale-laterale;Procedeva senza rispettare il segnale di dare precedenza  (art.145);;Autovettura privata;;;Ciclomotore;;;;0;0;0;1
2010;Polizia Municipale;1;Martedì;Sera;COSTABISSARA;SP 046 Pasubio;Intersezione segnalata;VIA PASUBIO VIA C. BATTISTI SP 046 PASUBIO;11.4934587;45.6035374;0;Asciutto;Assente;Sereno;Scontro frontale;Procedeva senza rispettare il segnale di dare precedenza  (art.145);;Autovettura privata;;;Autovettura privata;;;;0;0;0;1
2010;Polizia Municipale;2;Giovedì;Pomeriggio;COSTABISSARA;SP 046 Pasubio;Intersezione segnalata;VIA PASUBIO VIA C. BATTISTI SP 046 PASUBIO;11.4935453;45.6033191;0;Bagnato;Orizzontale;Pioggia;Scontro frontale-laterale;Procedeva regolarmente senza svoltare;;Autovettura privata;;;Autovettura privata;;;;0;0;0;1
2010;Polizia Stradale;4;Sabato;Pomeriggio;COSTABISSARA;SP 046 Pasubio;Intersezione segnalata;SP046          -SP 349;11.4936495;45.6031554;7;Bagnato;Orizzontale;Pioggia;Scontro frontale-laterale;Procedeva regolarmente senza svoltare;;Autovettura privata;;;Autovettura privata;;;;0;0;0;1
2010;Polizia Municipale;2;Venerdì;Pomeriggio;COSTABISSARA;SP 046 Pasubio;Intersezione segnalata;VIA PASUBIO VIA C. BATTISTI SP 046 PASUBIO;11.4937706;45.6029626;0;Bagnato;Orizzontale;Pioggia;Scontro frontale-laterale;Procedeva senza rispettare il segnale di dare precedenza  (art.145);;Autocarro;;;Autovettura privata;;;;0;0;0;1
2010;Polizia Stradale;11;Martedì;Sera;COSTABISSARA;SP 046 Pasubio;Rettilineo;SP046          -INTERSEZIONE CON VIA MONTE GRAPPA;11.4974624;45.5920366;6;Bagnato;Orizzontale;Pioggia;Scontro frontale-laterale;Procedeva regolarmente;;Autovettura privata;;;Autovettura privata;;;;0;0;0;3
2010;Polizia Municipale;1;Lunedì;Mattino;COSTABISSARA;SP 046 Pasubio;Rettilineo;VIA PASUBIO, 9 SP 046 PASUBIO;11.5010631;45.5881193;0;Asciutto;;Altro;Tamponamento;Procedeva senza mantenere la distanza di sicurezza (art.149);;Autocarro;;;Autovettura privata;;;Autovettura privata;0;0;0;1
2010;Polizia Municipale;10;Venerdì;Pomeriggio;COSTABISSARA;SP 046 Pasubio;Incrocio;VIA PASUBIO VIA VOLTA SP 046 PASUBIO;11.5027080;45.5861750;0;Asciutto;Assente;Sereno;Scontro-laterale;Svoltava a destra irregolarmente;;Autovettura privata;;;Autovettura privata;;;;0;0;0;2
2010;Polizia Municipale;4;Mercoledì;Pomeriggio;VICENZA;SP 046 Pasubio;Rettilineo;PASUBIO  STR. DI COSTABISSARA SP 046 PASUBIO;11.5062020;45.5820120;0;Asciutto;Assente;Sereno;Fuoriuscita (veicolo in marcia senza urto);Sbandamento con fuoriuscita per evitare l'urto;Veicolo;Motociclo a solo;;;Ciclomotore;;;;0;0;0;1
2010;Polizia Municipale;12;Martedì;Pomeriggio;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Rettilineo;SOLE  RACCORDO NORD-EST SP 046 RAC PASUBIO RACCORDO DEL S;11.5079470;45.5380130;0;Bagnato;Orizzontale;Pioggia;Tamponamento;Procedeva senza mantenere la distanza di sicurezza (art.149);;Autovettura privata;;;Autovettura privata;;;Autovettura privata;0;0;0;3
2010;Polizia Municipale;12;Lunedì;Pomeriggio;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;VIALE DEL SOLE  CATTANE SP 046 RAC PASUBIO RACCORDO DEL S;11.5092320;45.5470220;0;Bagnato;Orizzontale;Pioggia;Tamponamento;Procedeva senza mantenere la distanza di sicurezza (art.149);;Autovettura privata;;;Autovettura privata;;;;0;0;0;1
2010;Polizia Municipale;4;Venerdì;Sera;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;SOLE CATTANE SP 046 RAC PASUBIO RACCORDO DEL SOLE;11.5092701;45.5470606;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva senza dare la precedenza al veicolo proveniente da destra;;Autovettura privata;;;Autovettura privata;;;;0;0;0;2
2010;Carabiniere;3;Mercoledì;Pomeriggio;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;RACCORDO DEL SOLE INCROCIO BTG GRANATIERI DI SARDEGNA;11.5184660;45.5547390;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva regolarmente senza svoltare;;Autovettura privata;;;Autovettura privata;;;;0;0;0;2
2010;Polizia Municipale;3;Sabato;Sera;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;GRANATIERI DI SARDEGNA  SOLE SP 046 RAC PASUBIO RACCORDO ;11.5184700;45.5547090;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva senza dare la precedenza al veicolo proveniente da destra;;Autovettura privata;;;Velocipede;Mancanza o insufficienza dei dispositivi visivi dei velocipedi;;;0;0;0;1
2010;Polizia Municipale;3;Lunedì;Sera;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;SOLE GRANATIERI DI SARDEGNA SP 046 RAC PASUBIO RACCORDO D;11.5184800;45.5547190;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva senza dare la precedenza al veicolo proveniente da destra;;Autovettura privata;;;Motociclo a solo;;;;0;0;0;1
2010;Polizia Municipale;2;Giovedì;Sera;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;VIALE DEL SOLE  GRANATIERI DI SARDEGNA SP 046 RAC PASUBIO;11.5185010;45.5547290;0;Asciutto;Assente;Sereno;Tamponamento;Procedeva senza mantenere la distanza di sicurezza (art.149);;Autovettura privata;;;Autovettura privata;;;;0;0;0;2
2011;Polizia Municipale;10;Martedì;Pomeriggio;TORREBELVICINO;SP 046 var Torrebelvicino;Curva;RIMEMBRANZA, 15;11.3031650;45.7189153;0;Bagnato;Orizzontale;Pioggia;Fuoriuscita (veicolo in marcia senza urto);Sbandamento con fuoriuscita per eccesso di velocità;;Autovettura privata;;;;;;;0;0;0;1
2011;Polizia Municipale;10;Giovedì;Mattino;TORREBELVICINO;SP 046 var Torrebelvicino;Intersezione segnalata;RIMEMBRANZA INCROCIO VIA DELL'INDUSTRIA;11.3062513;45.7181957;0;Asciutto;Assente;Sereno;Frenata improvvisa (veicolo in marcia senza urto);Frenava improvvisamente con conseguenza ai trasportati;Veicolo;Motociclo a solo;;;Autovettura privata;;;;0;0;0;1
