mese,giorno_settimana,fascia_oraria,comune,nome_strada,tipo_luogo,fondo,segnaletica,meteo,lon,lat,incidente
9,Mercoledì,Mattino,SANTORSO,SP 349 Costo,Curva,Bagnato,Temporanea di cantiere,Altro,11.384109143618119,45.73164873553197,0
4,Domenica,Notte,VILLAVERLA,SP 349 Costo,Galleria illuminata,Asciutto,Assente,Sereno,11.49160082799895,45.63707174265497,0
1,Giovedì,Mattino,LASTEBASSE,SP 350 Val d'Astico,Dosso,Bagnato,Assente,Neve,11.309673550654956,45.90713399815781,0
4,Domenica,Mattino,VALLI DEL PASUBIO,SP 046 Pasubio,Intersezione segnalata,Sdrucciolevole,Temporanea di cantiere,Sereno,11.214644309087035,45.75533919159643,0
1,Lunedì,Sera,VICENZA,SP 046 Pasubio,Dosso,Bagnato,Assente,Sereno,11.499053828701635,45.57496813977198,0
9,Giovedì,Mattino,VALDASTICO,SP 350 Val d'Astico,Rotatoria,Ghiacciato,Verticale,Sereno,11.361718489387645,45.85729326269719,0
11,Martedì,Notte,SANTORSO,SP 349 Costo,Incrocio,Asciutto,Verticale,Sereno,11.41693026200878,45.742290650677546,0
12,Lunedì,Sera,MALO,SP 046 Pasubio,Intersezione segnalata,Sdrucciolevole,Orizzontale,Altro,11.41399764325761,45.65875868556915,0
10,Giovedì,Pomeriggio,ASIAGO,SP 349 Costo,Pendenza,Bagnato,Orizzontale,Vento forte,11.499641847172434,45.87603665210886,0
10,Domenica,Sera,CALTRANO,SP 349 Costo,Rotatoria,Sdrucciolevole,Orizzontale,Vento forte,11.455387890093442,45.77073545006201,0
11,Giovedì,Mattino,VICENZA,SP 046 Pasubio,Curva,Asciutto,Orizzontale,Sereno,11.504370184932762,45.5471871636396,0
10,Sabato,Mattino,LASTEBASSE,SP 350 Val d'Astico,Galleria illuminata,Sdrucciolevole,Verticale,Vento forte,11.28404582422612,45.91333355087019,0
8,Giovedì,Notte,ZANE',SP 349 Costo,Incrocio,Ghiacciato,Verticale,Neve,11.44452694393473,45.73263535001079,0
12,Lunedì,Notte,ASIAGO,SP 349 Costo,Incrocio,Innevato,Assente,Neve,11.489352994548256,45.87968727961823,0
4,Lunedì,Mattino,TORREBELVICINO,SP 046 var Torrebelvicino,Pendenza,Bagnato,Assente,Nebbia,11.30833214619785,45.71628472033271,0
5,Venerdì,Sera,MARANO VICENTINO,SP 349 var Costo Variante,Intersezione non segnalata,Sdrucciolevole,Temporanea di cantiere,Altro,11.431007680596233,45.71615294921578,0
4,Domenica,Pomeriggio,ZANE',SP 349 Costo,Pendenza,Sdrucciolevole,Temporanea di cantiere,Neve,11.448803274717902,45.72665466621004,0
4,Mercoledì,Sera,LASTEBASSE,SP 350 Val d'Astico,Intersezione segnalata,Sdrucciolevole,Orizzontale,Nebbia,11.27798992690128,45.91387403363575,0
2,Lunedì,Notte,LASTEBASSE,SP 350 Val d'Astico,Dosso,Bagnato,Orizzontale,Nebbia,11.323807794242647,45.90178410187748,0
4,Martedì,Sera,PIOVENE ROCCHETTE,SP 349 Costo,Rettilineo,Innevato,Assente,Pioggia,11.438122813787306,45.75741953455118,0
8,Sabato,Sera,VICENZA,SP 046 Pasubio,Dosso,Ghiacciato,Orizzontale,Vento forte,11.504218867063189,45.54743037202491,0
11,Venerdì,Notte,VILLAVERLA,SP 349 Costo,Intersezione con semaforo o vigile,Innevato,Temporanea di cantiere,Pioggia,11.493629703257064,45.64967907985379,0
2,Mercoledì,Mattino,SANTORSO,SP 349 Costo,Incrocio,Ghiacciato,Orizzontale,Nebbia,11.389172302833911,45.73293822948,0
9,Venerdì,Pomeriggio,ISOLA VICENTINA,SP 046 Pasubio,Intersezione non segnalata,Bagnato,Orizzontale,Pioggia,11.478049834233747,45.608974162675345,0
10,Sabato,Mattino,ASIAGO,SP 349 Costo,Incrocio,Bagnato,Orizzontale,Sereno,11.501986123591037,45.875653735818446,0
11,Giovedì,Mattino,TORREBELVICINO,SP 046 Pasubio,Curva,Asciutto,Verticale,Vento forte,11.290794413084518,45.71909318756725,0
10,Domenica,Notte,MALO,SP 046 Pasubio,Pendenza,Ghiacciato,Temporanea di cantiere,Neve,11.42841537977576,45.64268672868189,0
2,Lunedì,Notte,LASTEBASSE,SP 350 Val d'Astico,Pendenza,Ghiacciato,Verticale,Pioggia,11.313731047098061,45.90501215770255,0
6,Domenica,Mattino,LASTEBASSE,SP 350 Val d'Astico,Curva,Bagnato,Assente,Sereno,11.319132097729248,45.903377912366345,0
12,Sabato,Pomeriggio,VICENZA,SP 046 Pasubio,Rettilineo,Asciutto,Verticale,Sereno,11.509759662195417,45.57977385476918,0
11,Sabato,Pomeriggio,COGOLLO DEL CENGIO,SP 349 Costo,Incrocio,Innevato,Assente,Pioggia,11.42846797036313,45.79528776664223,0
8,Giovedì,Sera,CALTRANO,SP 349 Costo,Dosso,Bagnato,Orizzontale,Vento forte,11.455224359297134,45.77075722771889,0
12,Martedì,Pomeriggio,ASIAGO,SP 349 Costo,Intersezione segnalata,Sdrucciolevole,Orizzontale,Pioggia,11.386134629644694,45.951707789006136,0
9,Mercoledì,Sera,ISOLA VICENTINA,SP 046 Pasubio,Galleria illuminata,Asciutto,Assente,Sereno,11.474683380169765,45.609373109785686,0
11,Venerdì,Mattino,ROANA,SP 349 Costo,Dosso,Innevato,Verticale,Vento forte,11.473825807437247,45.884349524289846,0
3,Venerdì,Notte,TORREBELVICINO,SP 046 var Torrebelvicino,Dosso,Ghiacciato,Temporanea di cantiere,Pioggia,11.321777228087466,45.71365499638269,0
5,Domenica,Mattino,VALDASTICO,SP 350 Val d'Astico,Rotatoria,Asciutto,Orizzontale,Neve,11.362591550430775,45.85510829723643,0
3,Mercoledì,Pomeriggio,ROANA,SP 349 Costo,Intersezione con semaforo o vigile,Asciutto,Verticale,Neve,11.458850732732897,45.907138165745785,0
9,Venerdì,Sera,ZANE',SP 349 Costo,Rotatoria,Sdrucciolevole,Temporanea di cantiere,Neve,11.45638623092997,45.71714443965249,0
1,Mercoledì,Pomeriggio,LASTEBASSE,SP 350 Val d'Astico,Pendenza,Ghiacciato,Orizzontale,Pioggia,11.31997021123653,45.9031297576843,0
8,Venerdì,Notte,CALTRANO,SP 349 Costo,Dosso,Sdrucciolevole,Verticale,Nebbia,11.449727123122651,45.77523687551731,0
11,Mercoledì,Notte,ZANE',SP 349 Costo,Galleria illuminata,Innevato,Assente,Vento forte,11.459436465836824,45.71550231411382,0
10,Giovedì,Mattino,PIOVENE ROCCHETTE,SP 349 Costo,Intersezione non segnalata,Ghiacciato,Orizzontale,Nebbia,11.436876220307933,45.74256173982151,0
4,Mercoledì,Mattino,ROANA,SP 349 Costo,Intersezione segnalata,Ghiacciato,Assente,Vento forte,11.435373278993278,45.84269013747651,0
11,Martedì,Pomeriggio,ROANA,SP 349 Costo,Intersezione segnalata,Bagnato,Assente,Sereno,11.432998957047488,45.834634788429156,0
5,Giovedì,Mattino,PIOVENE ROCCHETTE,SP 350 Val d'Astico,Pendenza,Ghiacciato,Assente,Neve,11.42594533095991,45.7715674577645,0
9,Sabato,Sera,MALO,SP 046 Pasubio,Curva,Innevato,Temporanea di cantiere,Vento forte,11.420491583383885,45.65115907068934,0
7,Domenica,Sera,COSTABISSARA,SP 046 Pasubio,Galleria illuminata,Asciutto,Verticale,Neve,11.489371388623262,45.60553469734145,0
1,Domenica,Mattino,VALLI DEL PASUBIO,SP 046 Pasubio,Dosso,Ghiacciato,Temporanea di cantiere,Vento forte,11.19449930327283,45.760511945442765,0
1,Sabato,Pomeriggio,SANTORSO,SP 349 Costo,Intersezione con semaforo o vigile,Innevato,Orizzontale,Altro,11.417538714001497,45.7426055850041,0
3,Domenica,Notte,ARSIERO,SP 350 Val d'Astico,Intersezione segnalata,Sdrucciolevole,Orizzontale,Vento forte,11.369404659801413,45.80334637291397,0
12,Lunedì,Notte,VALDASTICO,SP 350 Val d'Astico,Intersezione segnalata,Ghiacciato,Assente,Vento forte,11.366228319484508,45.84694885036748,0
