mese,giorno_settimana,fascia_oraria,comune,nome_strada,tipo_luogo,fondo,segnaletica,meteo,lon,lat,incidente
3,Domenica,Notte,TORREBELVICINO,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.294533,45.718648,1
11,Mercoledì,Mattino,SANTORSO,SP 350 Val d'Astico,Rettilineo,Asciutto,Assente,Sereno,11.3795,45.73033,1
11,Sabato,Sera,SANTORSO,SP 350 Val d'Astico,Rettilineo,Bagnato,Orizzontale,Pioggia,11.385602,45.732028,1
4,Venerdì,Sera,SANTORSO,SP 350 Val d'Astico,Intersezione con semaforo o vigile,Asciutto,Assente,Sereno,11.386812,45.732363,1
3,Martedì,Pomeriggio,PIOVENE ROCCHETTE,SP 350 Val d'Astico,Incrocio,Asciutto,Assente,Sereno,11.419838,45.743846,1
11,Domenica,Mattino,COGOLLO DEL CENGIO,SP 349 Costo,Rettilineo,Asciutto,,Altro,11.4315522,45.7985881,1
3,Martedì,Pomeriggio,CARRE',SP 349 Costo,Intersezione segnalata,Bagnato,,Altro,11.440164,45.738273,1
11,Giovedì,Pomeriggio,PIOVENE ROCCHETTE,SP 349 Costo,Intersezione segnalata,Asciutto,Assente,Sereno,11.44274,45.759901,1
10,Lunedì,Pomeriggio,ZANE',SP 349 Costo,Intersezione con semaforo o vigile,Asciutto,Assente,Sereno,11.445844,45.730591,1
2,Giovedì,Pomeriggio,THIENE,SP 349 var Costo Variante,Curva,Sdrucciolevole,Temporanea di cantiere,Neve,11.453159,45.704606,1
12,Mercoledì,Mattino,THIENE,SP 349 var Costo Variante,Rettilineo,Asciutto,Assente,Sereno,11.4556289,45.7022157,1
4,Giovedì,Mattino,ISOLA VICENTINA,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.46683,45.614309,1
2,Venerdì,Pomeriggio,THIENE,SP 349 Costo,Incrocio,Bagnato,Orizzontale,Pioggia,11.488596,45.671388,1
11,Mercoledì,Sera,THIENE,SP 349 Costo,Intersezione segnalata,Bagnato,Orizzontale,Pioggia,11.488616,45.671549,1
11,Martedì,Pomeriggio,THIENE,SP 349 Costo,Intersezione segnalata,Bagnato,Orizzontale,Pioggia,11.4886589,45.6715303,1
1,Martedì,Sera,COSTABISSARA,SP 046 Pasubio,Intersezione segnalata,Asciutto,Assente,Sereno,11.4934587,45.6035374,1
2,Giovedì,Pomeriggio,COSTABISSARA,SP 046 Pasubio,Intersezione segnalata,Bagnato,Orizzontale,Pioggia,11.4935453,45.6033191,1
4,Sabato,Pomeriggio,COSTABISSARA,SP 046 Pasubio,Intersezione segnalata,Bagnato,Orizzontale,Pioggia,11.4936495,45.6031554,1
2,Venerdì,Pomeriggio,COSTABISSARA,SP 046 Pasubio,Intersezione segnalata,Bagnato,Orizzontale,Pioggia,11.4937706,45.6029626,1
11,Martedì,Sera,COSTABISSARA,SP 046 Pasubio,Rettilineo,Bagnato,Orizzontale,Pioggia,11.4974624,45.5920366,1
1,Lunedì,Mattino,COSTABISSARA,SP 046 Pasubio,Rettilineo,Asciutto,,Altro,11.5010631,45.5881193,1
10,Venerdì,Pomeriggio,COSTABISSARA,SP 046 Pasubio,Incrocio,Asciutto,Assente,Sereno,11.502708,45.586175,1
4,Mercoledì,Pomeriggio,VICENZA,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.506202,45.582012,1
12,Martedì,Pomeriggio,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Rettilineo,Bagnato,Orizzontale,Pioggia,11.507947,45.538013,1
12,Lunedì,Pomeriggio,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione con semaforo o vigile,Bagnato,Orizzontale,Pioggia,11.509232,45.547022,1
4,Venerdì,Sera,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione con semaforo o vigile,Asciutto,Assente,Sereno,11.5092701,45.5470606,1
3,Mercoledì,Pomeriggio,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione con semaforo o vigile,Asciutto,Assente,Sereno,11.518466,45.554739,1
3,Sabato,Sera,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione con semaforo o vigile,Asciutto,Assente,Sereno,11.51847,45.554709,1
3,Lunedì,Sera,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione con semaforo o vigile,Asciutto,Assente,Sereno,11.51848,45.554719,1
2,Giovedì,Sera,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione con semaforo o vigile,Asciutto,Assente,Sereno,11.518501,45.554729,1
10,Martedì,Pomeriggio,TORREBELVICINO,SP 046 var Torrebelvicino,Curva,Bagnato,Orizzontale,Pioggia,11.303165,45.7189153,1
10,Giovedì,Mattino,TORREBELVICINO,SP 046 var Torrebelvicino,Intersezione segnalata,Asciutto,Assente,Sereno,11.3062513,45.7181957,1
2,Sabato,Sera,TORREBELVICINO,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.315144,45.7191404,1
10,Domenica,Pomeriggio,ARSIERO,SP 350 Val d'Astico,Rettilineo,Asciutto,Assente,Sereno,11.3611937,45.8100465,1
12,Venerdì,Pomeriggio,ARSIERO,SP 350 Val d'Astico,Rettilineo,Bagnato,Orizzontale,Pioggia,11.3617351,45.8043212,1
10,Domenica,Notte,ARSIERO,SP 350 Val d'Astico,Rettilineo,Asciutto,Assente,Sereno,11.3744982,45.8029973,1
10,Venerdì,Sera,SANTORSO,SP 350 Val d'Astico,Incrocio,Asciutto,Assente,Sereno,11.3770026,45.7298164,1
12,Martedì,Sera,SANTORSO,SP 350 Val d'Astico,Incrocio,Asciutto,Assente,Sereno,11.3821524,45.7311307,1
11,Martedì,Pomeriggio,SANTORSO,SP 350 Val d'Astico,Incrocio,Bagnato,Orizzontale,Pioggia,11.394732,45.7343659,1
4,Domenica,Mattino,SANTORSO,SP 350 Val d'Astico,Intersezione segnalata,Asciutto,Assente,Sereno,11.3947374,45.7343771,1
1,Giovedì,Mattino,MALO,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.4029288,45.6769515,1
1,Domenica,Pomeriggio,MALO,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.4190765,45.6525864,1
1,Giovedì,Pomeriggio,PIOVENE ROCCHETTE,SP 350 Val d'Astico,Rettilineo,Asciutto,Assente,Sereno,11.423692,45.7469627,1
11,Martedì,Pomeriggio,PIOVENE ROCCHETTE,SP 350 Val d'Astico,Rettilineo,Asciutto,Assente,Sereno,11.4238081,45.7470689,1
4,Giovedì,Mattino,SCHIO,SP 349 var Costo Variante,Intersezione con semaforo o vigile,Asciutto,Assente,Sereno,11.4253736,45.7198212,1
12,Giovedì,Mattino,PIOVENE ROCCHETTE,SP 349 Costo,Rettilineo,Asciutto,Assente,Sereno,11.4307273,45.7494283,1
10,Sabato,Notte,MALO,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.4331627,45.6390075,1
11,Mercoledì,Mattino,MALO,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.4347448,45.638099,1
4,Giovedì,Sera,CARRE',SP 349 Costo,Rotatoria,Asciutto,Assente,Sereno,11.4400291,45.7381775,1
10,Sabato,Sera,CARRE',SP 349 Costo,Rotatoria,Asciutto,Assente,Sereno,11.440115,45.7382374,1
11,Lunedì,Mattino,PIOVENE ROCCHETTE,SP 349 Costo,Incrocio,Asciutto,Assente,Sereno,11.4418718,45.7594376,1
2,Lunedì,Pomeriggio,PIOVENE ROCCHETTE,SP 349 Costo,Incrocio,Asciutto,Assente,Sereno,11.442722,45.7599064,1
12,Giovedì,Pomeriggio,PIOVENE ROCCHETTE,SP 349 Costo,Incrocio,Asciutto,Assente,Sereno,11.4427382,45.759941,1
10,Sabato,Pomeriggio,PIOVENE ROCCHETTE,SP 349 Costo,Intersezione segnalata,Asciutto,Assente,Sereno,11.4427596,45.7599373,1
11,Martedì,Sera,ZANE',SP 349 Costo,Rettilineo,Asciutto,Assente,Sereno,11.4485884,45.7269181,1
2,Sabato,Mattino,ZANE',SP 349 Costo,Intersezione con semaforo o vigile,Asciutto,,Altro,11.4517906,45.7215758,1
4,Domenica,Pomeriggio,CALTRANO,SP 349 Costo,Curva,Asciutto,Assente,Sereno,11.4540517,45.770756,1
