anno;rilevatore;mese;giorno_settimana;fascia_oraria;comune;nome_strada;tipo_luogo;indirizzo;lon;lat;kmt_etm;fondo;segnaletica;meteo;natura;des_circ_a;des_circ_b;veicolo_a;avaria_a;des_psico_a;veicolo_b;avaria_b;des_psico_b;veicolo_c;veicoli_oltre_a_b_c;pedoni_morti_feriti;tot_morti;tot_feriti
2016;Polizia Municipale;8;Venerdì;Pomeriggio;TORREBELVICINO;SP 046 Pasubio;Rettilineo;LOCALITA' FONTE MARGHERITA, 2 SP 046 PASUBIO;11.294533;45.718648;0.0;Bagnato;Assente;Sereno;;;;;;;;;;;0;0;0;0
2017;Polizia Municipale;2;Lunedì;Sera;TORREBELVICINO;SP 046 Pasubio;Rettilineo;LOCALITA' FONTE MARGHERITA, 2 SP 046 PASUBIO;11.294533;45.718648;0.0;Asciutto;Verticale;Vento forte;;;;;;;;;;;0;0;0;0
2011;Polizia Municipale;7;Giovedì;Mattino;SANTORSO;SP 350 Val d'Astico;Rettilineo;VIA IV NOVEMBRE, 50 SP 350 VAL D'ASTICO;11.3795;45.73033;0.0;Bagnato;Temporanea di cantiere;Vento forte;;;;;;;;;;;0;0;0;0
2020;Polizia Municipale;12;Martedì;Mattino;SANTORSO;SP 350 Val d'Astico;Rettilineo;VIA IV NOVEMBRE, 50 SP 350 VAL D'ASTICO;11.3795;45.73033;0.0;Asciutto;Verticale;Nebbia;;;;;;;;;;;0;0;0;0
2013;Polizia Municipale;1;Domenica;Sera;SANTORSO;SP 350 Val d'Astico;Rettilineo;VIA IV NOVEMBRE, 57 SP 350 VAL D'ASTICO;11.385602;45.732028;0.0;Sdrucciolevole;Verticale;Neve;;;;;;;;;;;0;0;0;0
2013;Polizia Municipale;10;Martedì;Notte;SANTORSO;SP 350 Val d'Astico;Rettilineo;VIA IV NOVEMBRE, 57 SP 350 VAL D'ASTICO;11.385602;45.732028;0.0;Bagnato;Verticale;Sereno;;;;;;;;;;;0;0;0;0
2023;Polizia Municipale;1;Venerdì;Pomeriggio;SANTORSO;SP 350 Val d'Astico;Intersezione con semaforo o vigile;VIA IV NOVEMBRE INCROCIO VIA POZZATI SP 350 VAL D'ASTICO;11.386812;45.732363;0.0;Asciutto;Temporanea di cantiere;Vento forte;;;;;;;;;;;0;0;0;0
2015;Polizia Municipale;3;Venerdì;Mattino;SANTORSO;SP 350 Val d'Astico;Intersezione con semaforo o vigile;VIA IV NOVEMBRE INCROCIO VIA POZZATI SP 350 VAL D'ASTICO;11.386812;45.732363;0.0;Bagnato;Assente;Vento forte;;;;;;;;;;;0;0;0;0
2019;Polizia Municipale;2;Lunedì;Sera;PIOVENE ROCCHETTE;SP 350 Val d'Astico;Incrocio;VIA MONTE PASUBIO INCROCIO VIA VALLARSA SP 350 VAL D'ASTI;11.419838;45.743846;0.0;Innevato;Orizzontale;Neve;;;;;;;;;;;0;0;0;0
2022;Polizia Municipale;4;Sabato;Notte;PIOVENE ROCCHETTE;SP 350 Val d'Astico;Incrocio;VIA MONTE PASUBIO INCROCIO VIA VALLARSA SP 350 VAL D'ASTI;11.419838;45.743846;0.0;Bagnato;Orizzontale;Altro;;;;;;;;;;;0;0;0;0
2011;Polizia Stradale;6;Martedì;Mattino;COGOLLO DEL CENGIO;SP 349 Costo;Rettilineo;SP349          -;11.4315522;45.7985881;84.0;Asciutto;Orizzontale;Vento forte;;;;;;;;;;;0;0;0;0
2023;Polizia Stradale;9;Venerdì;Notte;COGOLLO DEL CENGIO;SP 349 Costo;Rettilineo;SP349          -;11.4315522;45.7985881;84.0;Bagnato;Verticale;Pioggia;;;;;;;;;;;0;0;0;0
2014;Polizia Municipale;11;Giovedì;Pomeriggio;CARRE';SP 349 Costo;Intersezione segnalata;VIA BIANCHE, 10 SP 349 COSTO;11.440164;45.738273;0.0;Ghiacciato;Orizzontale;Neve;;;;;;;;;;;0;0;0;0
2022;Polizia Municipale;5;Sabato;Notte;CARRE';SP 349 Costo;Intersezione segnalata;VIA BIANCHE, 10 SP 349 COSTO;11.440164;45.738273;0.0;Bagnato;Temporanea di cantiere;Vento forte;;;;;;;;;;;0;0;0;0
2012;Polizia Municipale;3;Giovedì;Notte;PIOVENE ROCCHETTE;SP 349 Costo;Intersezione segnalata;VIA ANTONIO FOGAZZARO INC VIA CURTOLINI SP 349 COSTO;11.44274;45.759901;0.0;Innevato;Verticale;Neve;;;;;;;;;;;0;0;0;0
2016;Polizia Municipale;8;Martedì;Mattino;PIOVENE ROCCHETTE;SP 349 Costo;Intersezione segnalata;VIA ANTONIO FOGAZZARO INC VIA CURTOLINI SP 349 COSTO;11.44274;45.759901;0.0;Bagnato;Verticale;Vento forte;;;;;;;;;;;0;0;0;0
2017;Polizia Municipale;1;Domenica;Notte;ZANE';SP 349 Costo;Intersezione con semaforo o vigile;VIA SUMMANO VIA TRIESTE SP 349 COSTO;11.445844;45.730591;0.0;Sdrucciolevole;Assente;Neve;;;;;;;;;;;0;0;0;0
2019;Polizia Municipale;9;Venerdì;Pomeriggio;ZANE';SP 349 Costo;Intersezione con semaforo o vigile;VIA SUMMANO VIA TRIESTE SP 349 COSTO;11.445844;45.730591;0.0;Asciutto;Temporanea di cantiere;Sereno;;;;;;;;;;;0;0;0;0
2018;Polizia Municipale;7;Venerdì;Sera;THIENE;SP 349 var Costo Variante;Curva;SS 349 VAR THIENE;11.453159;45.704606;3.0;Bagnato;Assente;Sereno;;;;;;;;;;;0;0;0;0
2018;Polizia Municipale;12;Domenica;Mattino;THIENE;SP 349 var Costo Variante;Curva;SS 349 VAR THIENE;11.453159;45.704606;3.0;Ghiacciato;Orizzontale;Neve;;;;;;;;;;;0;0;0;0
2015;Polizia Municipale;4;Lunedì;Pomeriggio;THIENE;SP 349 var Costo Variante;Rettilineo;SS 349 VAR THIENE;11.4556289;45.7022157;3.0;Asciutto;Assente;Altro;;;;;;;;;;;0;0;0;0
2021;Polizia Municipale;1;Mercoledì;Pomeriggio;THIENE;SP 349 var Costo Variante;Rettilineo;SS 349 VAR THIENE;11.4556289;45.7022157;3.0;Sdrucciolevole;Orizzontale;Pioggia;;;;;;;;;;;0;0;0;0
2017;Carabiniere;2;Venerdì;Pomeriggio;ISOLA VICENTINA;SP 046 Pasubio;Rettilineo;SP 046  VIA VICENZA VIA CHIODO KMT 10+4;11.46683;45.614309;10.4;Bagnato;Verticale;Nebbia;;;;;;;;;;;0;0;0;0
2015;Carabiniere;1;Giovedì;Mattino;ISOLA VICENTINA;SP 046 Pasubio;Rettilineo;SP 046  VIA VICENZA VIA CHIODO KMT 10+4;11.46683;45.614309;10.4;Sdrucciolevole;Assente;Neve;;;;;;;;;;;0;0;0;0
2011;Polizia Municipale;2;Giovedì;Sera;THIENE;SP 349 Costo;Incrocio;VIA SANTO VIA BRAGLIO SP 349 COSTO;11.488596;45.671388;0.0;Asciutto;Temporanea di cantiere;Nebbia;;;;;;;;;;;0;0;0;0
2022;Polizia Municipale;2;Venerdì;Pomeriggio;THIENE;SP 349 Costo;Incrocio;VIA SANTO VIA BRAGLIO SP 349 COSTO;11.488596;45.671388;0.0;Bagnato;Assente;Nebbia;;;;;;;;;;;0;0;0;0
2016;Polizia Municipale;6;Mercoledì;Mattino;THIENE;SP 349 Costo;Intersezione segnalata;VIA SANTO VIA DELL'AEROPORTO SP 349 COSTO;11.488616;45.671549;0.0;Bagnato;Assente;Nebbia;;;;;;;;;;;0;0;0;0
2018;Polizia Municipale;8;Sabato;Pomeriggio;THIENE;SP 349 Costo;Intersezione segnalata;VIA SANTO VIA DELL'AEROPORTO SP 349 COSTO;11.488616;45.671549;0.0;Sdrucciolevole;Assente;Pioggia;;;;;;;;;;;0;0;0;0
2023;Polizia Municipale;5;Sabato;Pomeriggio;THIENE;SP 349 Costo;Intersezione segnalata;VIA SANTO VIA DELL'AEROPORTO SP 349 COSTO;11.4886589;45.6715303;0.0;Asciutto;Orizzontale;Nebbia;;;;;;;;;;;0;0;0;0
2020;Polizia Municipale;4;Lunedì;Mattino;THIENE;SP 349 Costo;Intersezione segnalata;VIA SANTO VIA DELL'AEROPORTO SP 349 COSTO;11.4886589;45.6715303;0.0;Asciutto;Verticale;Vento forte;;;;;;;;;;;0;0;0;0
2016;Polizia Municipale;10;Giovedì;Mattino;COSTABISSARA;SP 046 Pasubio;Intersezione segnalata;VIA PASUBIO VIA C. BATTISTI SP 046 PASUBIO;11.4934587;45.6035374;0.0;Sdrucciolevole;Assente;Pioggia;;;;;;;;;;;0;0;0;0
2011;Polizia Municipale;11;Venerdì;Sera;COSTABISSARA;SP 046 Pasubio;Intersezione segnalata;VIA PASUBIO VIA C. BATTISTI SP 046 PASUBIO;11.4934587;45.6035374;0.0;Asciutto;Assente;Sereno;;;;;;;;;;;0;0;0;0
2018;Polizia Municipale;10;Venerdì;Notte;COSTABISSARA;SP 046 Pasubio;Intersezione segnalata;VIA PASUBIO VIA C. BATTISTI SP 046 PASUBIO;11.4935453;45.6033191;0.0;Asciutto;Orizzontale;Vento forte;;;;;;;;;;;0;0;0;0
2016;Polizia Municipale;10;Giovedì;Sera;COSTABISSARA;SP 046 Pasubio;Intersezione segnalata;VIA PASUBIO VIA C. BATTISTI SP 046 PASUBIO;11.4935453;45.6033191;0.0;Asciutto;Orizzontale;Altro;;;;;;;;;;;0;0;0;0
