segment_id,nome_strada,comune,km_idx,lunghezza_m,n_attraversamenti,n_semafori,n_stop,n_incroci,n_autovelox,n_lampioni,maxspeed_med,n_incidenti,indice_grezzo,indice
1,SP 046 Pasubio,VALLI DEL PASUBIO,0,1000,0,0,0,0,0,0,,0,0.0,0.0
2,SP 046 Pasubio,VALLI DEL PASUBIO,1,1000,1,0,0,0,0,0,,0,0.0,0.0
3,SP 046 Pasubio,VALLI DEL PASUBIO,2,1000,0,0,0,0,0,0,,0,0.0,0.0
4,SP 046 Pasubio,VALLI DEL PASUBIO,3,1000,0,0,0,0,0,0,,0,0.0,0.0
5,SP 046 Pasubio,VALLI DEL PASUBIO,4,1000,0,0,0,0,0,0,,0,0.0,0.0
6,SP 046 Pasubio,VALLI DEL PASUBIO,5,1000,0,0,0,0,0,0,,0,0.0,0.0
7,SP 046 Pasubio,VALLI DEL PASUBIO,6,1000,1,0,0,0,0,0,45,0,0.0,0.0
8,SP 046 Pasubio,VALLI DEL PASUBIO,7,1000,0,0,0,0,0,0,70,1,0.429,0.9
9,SP 046 Pasubio,VALLI DEL PASUBIO,8,1000,0,0,0,0,0,0,40,3,0.643,1.4
10,SP 046 Pasubio,VALLI DEL PASUBIO,9,1000,0,0,0,0,0,0,50,2,0.643,1.4
11,SP 046 Pasubio,VALLI DEL PASUBIO,10,1000,8,0,1,0,0,0,50,6,2.571,5.5
12,SP 046 Pasubio,VALLI DEL PASUBIO,11,1000,2,0,0,0,0,0,50,6,1.5,3.2
13,SP 046 Pasubio,TORREBELVICINO,12,1000,1,0,0,0,0,0,30,2,0.429,0.9
14,SP 046 Pasubio,TORREBELVICINO,13,1000,0,0,0,0,0,0,30,0,0.0,0.0
15,SP 046 Pasubio,TORREBELVICINO,14,1000,0,0,0,0,0,0,,3,1.286,2.8
16,SP 046 Pasubio,SCHIO,15,998,0,0,0,0,0,0,50,10,4.938,10.6
17,SP 046 Pasubio,SAN VITO DI LEGUZZANO,16,1000,0,0,0,0,0,0,90,7,2.214,4.8
18,SP 046 Pasubio,MALO,17,413,1,0,0,0,0,5,90,6,4.151,8.9
19,SP 046 Pasubio,MALO,18,1000,5,0,0,0,0,3,50,8,3.429,7.4
20,SP 046 Pasubio,MALO,19,185,3,0,0,0,0,0,50,4,4.633,9.9
21,SP 046 Pasubio,MALO,20,963,8,0,0,0,0,37,50,18,5.415,11.6
22,SP 046 Pasubio,MALO,21,1000,4,1,2,0,0,20,50,21,6.643,14.3
23,SP 046 Pasubio,MALO,22,637,2,0,0,0,0,98,45,9,4.485,9.6
24,SP 046 Pasubio,MALO,23,981,8,1,0,0,0,13,50,19,6.116,13.1
25,SP 046 Pasubio,MALO,24,153,0,0,0,0,0,105,40,0,0.0,0.0
26,SP 046 Pasubio,ISOLA VICENTINA,25,1000,13,0,1,0,0,24,50,14,4.071,8.7
27,SP 046 Pasubio,ISOLA VICENTINA,26,196,7,0,0,0,0,1,50,3,3.28,7.0
28,SP 046 Pasubio,ISOLA VICENTINA,27,1000,4,0,0,0,0,5,50,12,2.571,5.5
29,SP 046 Pasubio,ISOLA VICENTINA,28,1000,1,0,0,0,0,2,90,8,2.429,5.2
30,SP 046 Pasubio,ISOLA VICENTINA,29,750,2,4,0,0,0,1,50,7,2.857,6.1
31,SP 046 Pasubio,ISOLA VICENTINA,30,164,0,0,0,0,0,0,60,0,0.0,0.0
32,SP 046 Pasubio,ISOLA VICENTINA,31,158,0,0,0,0,0,0,60,0,0.0,0.0
33,SP 046 Pasubio,ISOLA VICENTINA,32,1000,0,0,0,0,0,14,60,3,1.071,2.3
34,SP 046 Pasubio,COSTABISSARA,33,660,7,0,0,0,0,32,70,5,5.411,11.6
35,SP 046 Pasubio,COSTABISSARA,34,108,14,0,0,0,0,7,50,1,1.984,4.3
36,SP 046 Pasubio,COSTABISSARA,35,142,14,0,1,0,0,7,50,10,28.672,61.6
37,SP 046 Pasubio,COSTABISSARA,36,149,11,0,0,0,0,12,50,3,8.629,18.5
38,SP 046 Pasubio,COSTABISSARA,37,152,10,0,0,0,0,13,50,2,2.82,6.1
39,SP 046 Pasubio,COSTABISSARA,38,229,12,0,0,0,0,20,50,8,9.357,20.1
40,SP 046 Pasubio,COSTABISSARA,39,530,21,1,0,0,0,44,50,9,5.256,11.3
41,SP 046 Pasubio,COSTABISSARA,40,263,4,0,0,0,0,31,50,6,6.518,14.0
42,SP 046 Pasubio,COSTABISSARA,41,1000,7,0,1,0,0,20,50,16,6.714,14.4
43,SP 046 Pasubio,VICENZA,42,203,0,0,0,0,0,7,40,4,8.445,18.1
44,SP 046 Pasubio,VICENZA,43,197,0,0,0,0,0,6,40,0,0.0,0.0
45,SP 046 Pasubio,VICENZA,44,1000,0,0,0,0,0,0,70,0,0.0,0.0
46,SP 046 Pasubio,VICENZA,45,1000,0,0,0,0,0,0,90,0,0.0,0.0
47,SP 046 Pasubio,VICENZA,46,1000,0,0,0,0,0,0,90,0,0.0,0.0
48,SP 046 Pasubio,COSTABISSARA,47,1000,0,0,0,0,0,0,90,0,0.0,0.0
49,SP 046 Pasubio,VICENZA,48,593,0,0,0,0,0,0,90,0,0.0,0.0
50,SP 046 Pasubio,VICENZA,49,212,0,0,0,0,0,0,90,0,0.0,0.0
51,SP 046 Pasubio,VICENZA,50,250,0,0,0,0,0,0,90,36,46.571,100.0
52,SP 046 Pasubio,VICENZA,51,1000,0,0,0,0,0,0,70,0,0.0,0.0
53,SP 046 Pasubio,VICENZA,52,1000,0,0,0,0,0,0,90,0,0.0,0.0
54,SP 046 Pasubio,VICENZA,53,1000,0,0,0,0,0,0,90,0,0.0,0.0
55,SP 046 Pasubio,VICENZA,54,1000,0,0,0,0,0,0,50,0,0.0,0.0
56,SP 046 Pasubio,VICENZA,55,639,0,0,0,0,0,0,70,0,0.0,0.0
57,SP 046 Pasubio,VICENZA,56,184,0,0,0,0,0,0,90,0,0.0,0.0
58,SP 046 Pasubio,VICENZA,57,178,0,0,0,0,0,0,90,0,0.0,0.0
