segment_id,meteo,fascia_oraria,risk
1,Sereno,Mattino,0.02
2,Sereno,Mattino,0.02
3,Sereno,Mattino,0.02
4,Sereno,Mattino,0.02
5,Sereno,Mattino,0.02
6,Sereno,Mattino,0.02
7,Sereno,Mattino,0.02
8,Sereno,Mattino,0.02
9,Sereno,Mattino,0.02
10,Sereno,Mattino,0.02
11,Sereno,Mattino,0.02
12,Sereno,Mattino,0.02
13,Sereno,Mattino,0.02
14,Sereno,Mattino,0.02
15,Sereno,Mattino,0.02
16,Sereno,Mattino,0.04
17,Sereno,Mattino,0.02
18,Sereno,Mattino,0.04
19,Sereno,Mattino,0.04
20,Sereno,Mattino,0.04
21,Sereno,Mattino,0.04
22,Sereno,Mattino,0.04
23,Sereno,Mattino,0.04
24,Sereno,Mattino,0.04
25,Sereno,Mattino,0.04
26,Sereno,Mattino,0.02
27,Sereno,Mattino,0.02
28,Sereno,Mattino,0.02
29,Sereno,Mattino,0.02
30,Sereno,Mattino,0.02
31,Sereno,Mattino,0.02
32,Sereno,Mattino,0.02
33,Sereno,Mattino,0.02
34,Sereno,Mattino,0.1333
35,Sereno,Mattino,0.1333
36,Sereno,Mattino,0.1333
37,Sereno,Mattino,0.1333
38,Sereno,Mattino,0.1333
39,Sereno,Mattino,0.1333
40,Sereno,Mattino,0.1333
41,Sereno,Mattino,0.1333
42,Sereno,Mattino,0.1333
43,Sereno,Mattino,0.02
44,Sereno,Mattino,0.02
45,Sereno,Mattino,0.02
46,Sereno,Mattino,0.02
47,Sereno,Mattino,0.02
48,Sereno,Mattino,0.1333
49,Sereno,Mattino,0.02
50,Sereno,Mattino,0.02
51,Sereno,Mattino,0.02
52,Sereno,Mattino,0.02
53,Sereno,Mattino,0.02
54,Sereno,Mattino,0.02
55,Sereno,Mattino,0.02
56,Sereno,Mattino,0.02
57,Sereno,Mattino,0.02
58,Sereno,Mattino,0.02
59,Sereno,Mattino,0.02
60,Sereno,Mattino,0.02
61,Sereno,Mattino,0.02
62,Sereno,Mattino,0.02
63,Sereno,Mattino,0.0267
64,Sereno,Mattino,0.0267
65,Sereno,Mattino,0.0267
66,Sereno,Mattino,0.0267
67,Sereno,Mattino,0.0267
68,Sereno,Mattino,0.0267
69,Sereno,Mattino,0.02
70,Sereno,Mattino,0.02
71,Sereno,Mattino,0.02
72,Sereno,Mattino,0.04
73,Sereno,Mattino,0.02
74,Sereno,Mattino,0.02
75,Sereno,Mattino,0.02
76,Sereno,Mattino,0.0467
77,Sereno,Mattino,0.0467
78,Sereno,Mattino,0.02
79,Sereno,Mattino,0.02
80,Sereno,Mattino,0.02
81,Sereno,Mattino,0.02
82,Sereno,Mattino,0.02
83,Sereno,Mattino,0.02
